duration_min,it_energy_kwh,cooling_energy_kwh,total_energy_kwh,pue_cooling_only,pue_unavailable_reason,hotspot_events,boundary_active_hotspot_events,hotspot_rack_minutes,hard_limit_rack_minutes,hard_limit_time_fraction,hotspot_degree_minutes,peak_temperature_c,mean_thermal_imbalance_c,offered_utilization_steps,served_utilization_steps,service_fraction,migration_count,mean_decision_latency_ms,scenario,controller,seed,steps,factor,level,racks,runtime_s,memory_mb,memory_reason
12.0,10.874797491603424,1.0569202231876313,11.931717714791056,1.097189876317577,,0,0,0.0,0.0,0.0,0.0,26.112467362223768,0.26332515101850346,50.88017885332346,50.88017885332346,1.0,0,313.5282833391102,normal,hybrid_mpc,20266908,12,mismatch,0.00,12,1.9235248999902979,,portable process memory measurement unavailable
12.0,10.874797491603424,1.0594137290774526,11.934211220680876,1.0974191684852468,,0,0,0.0,0.0,0.0,0.0,26.24620249680969,0.2921172290056182,50.88017885332346,50.88017885332346,1.0,0,304.39518333635834,normal,hybrid_mpc,20266908,12,mismatch,0.20,12,1.8699954000039725,,portable process memory measurement unavailable
12.0,10.874797491603424,1.038990888011804,11.913788379615228,1.0955411711173495,,0,0,0.0,0.0,0.0,0.0,26.177564327764586,0.2795680386309796,50.88017885332346,50.88017885332346,1.0,0,320.4857666666309,normal,hybrid_mpc,20266908,12,sensor_quality,low_noise,12,1.9691403999895556,,portable process memory measurement unavailable
12.0,10.874797491603424,1.0397592788757308,11.914556770479155,1.0956118290642693,,0,0,0.0,0.0,0.0,0.0,26.16654436563207,0.27829555377716597,50.88017885332346,50.88017885332346,1.0,0,312.50393333660514,normal,hybrid_mpc,20266908,12,sensor_quality,degraded,12,1.915591700002551,,portable process memory measurement unavailable
12.0,10.874797491603424,1.038990888011804,11.913788379615228,1.0955411711173495,,0,0,0.0,0.0,0.0,0.0,26.177564327764586,0.2795680386309796,50.88017885332346,50.88017885332346,1.0,0,345.7360499960487,normal,hybrid_mpc,20266908,12,cooling_efficiency,nominal,12,2.12277049999102,,portable process memory measurement unavailable
12.0,10.874797491603424,1.2422744395587733,12.117071931162197,1.1142342595821164,,0,0,0.0,0.0,0.0,0.0,26.276715454641707,0.2776691782748687,50.88017885332346,50.88017885332346,1.0,0,338.3077500014527,cooling_degradation,hybrid_mpc,20266908,12,cooling_efficiency,degraded,12,2.07553519999783,,portable process memory measurement unavailable
12.0,10.874797491603424,1.039500116007456,11.91429760761088,1.0955879975521445,,0,0,0.0,0.0,0.0,0.0,26.16654436563207,0.27895077666749357,50.88017885332346,50.88017885332346,1.0,0,354.70640000130516,normal,hybrid_mpc,20266908,12,objective_energy_weight,0.5,12,2.179254500006209,,portable process memory measurement unavailable
12.0,10.874797491603424,1.038990888011804,11.913788379615228,1.0955411711173495,,0,0,0.0,0.0,0.0,0.0,26.177564327764586,0.2795680386309796,50.88017885332346,50.88017885332346,1.0,0,323.0595999993966,normal,hybrid_mpc,20266908,12,objective_energy_weight,2.0,12,1.9815450000023702,,portable process memory measurement unavailable
10.0,4.525505552119339,0.49732173702093513,5.022827289140274,1.1098930785286596,,0,0,0.0,0.0,0.0,0.0,25.463049473809406,0.14778490339136557,21.15408940564467,21.15408940564467,1.0,0,236.68975999462418,normal,physics_mpc,20266908,10,topology_scale,6,6,1.2170046999963233,,portable process memory measurement unavailable
10.0,9.055628943271213,0.8567283079309258,9.912357251202138,1.0946072672917455,,0,0,0.0,0.0,0.0,0.0,25.815106195622302,0.26270520781499535,42.334509062224534,42.334509062224534,1.0,0,248.48863999941386,normal,physics_mpc,20266908,10,topology_scale,12,12,1.276650800005882,,portable process memory measurement unavailable
10.0,18.096806522070644,1.5592053537726078,19.65601187584325,1.0861591437069862,,0,0,0.0,0.0,0.0,0.0,25.637707021776986,0.2898240419343041,84.54253548074406,84.54253548074406,1.0,0,271.5118999942206,normal,physics_mpc,20266908,10,topology_scale,24,24,1.394836800012854,,portable process memory measurement unavailable
