model,horizon_min,mae_c,rmse_c,count,inference_s,training_s,scenario_count
persistence,5,0.13611416518688202,0.1890091896057129,17952,0.0008070000039879233,0.0,5
persistence,10,0.22919729351997375,0.33062925934791565,17952,0.0008070000039879233,0.0,5
persistence,15,0.32136186957359314,0.46718552708625793,17952,0.0008070000039879233,0.0,5
persistence,30,0.5780167579650879,0.8367950916290283,17952,0.0008070000039879233,0.0,5
persistence,60,1.015199899673462,1.3999278545379639,17952,0.0008070000039879233,0.0,5
physics,5,0.3405299484729767,0.3636987805366516,17952,5.319999763742089e-05,0.0,5
physics,10,0.6234980821609497,0.6547011137008667,17952,5.319999763742089e-05,0.0,5
physics,15,0.8602927327156067,0.9026486277580261,17952,5.319999763742089e-05,0.0,5
physics,30,1.3690752983093262,1.458256483078003,17952,5.319999763742089e-05,0.0,5
physics,60,1.8506020307540894,2.075270891189575,17952,5.319999763742089e-05,0.0,5
ridge,5,0.19493594765663147,0.25288939476013184,17952,0.006206800011568703,0.00963269999192562,5
ridge,10,0.44257602095603943,0.5792487263679504,17952,0.006206800011568703,0.00963269999192562,5
ridge,15,0.7657834887504578,1.0096675157546997,17952,0.006206800011568703,0.00963269999192562,5
ridge,30,1.4205297231674194,1.8879246711730957,17952,0.006206800011568703,0.00963269999192562,5
ridge,60,4.664764404296875,5.72788143157959,17952,0.006206800011568703,0.00963269999192562,5
random_forest,5,1.2566393941827994,2.4600091313007213,17952,0.025461100012762472,1.4146173000044655,5
random_forest,10,1.3910176307360005,2.4655398781059317,17952,0.025461100012762472,1.4146173000044655,5
random_forest,15,1.5171652900976536,2.494772602661518,17952,0.025461100012762472,1.4146173000044655,5
random_forest,30,1.6922671447143391,2.4380409062234456,17952,0.025461100012762472,1.4146173000044655,5
random_forest,60,1.6140442905681887,1.9722557422837421,17952,0.025461100012762472,1.4146173000044655,5
gradient_boosting,5,1.3457689422072432,2.580717521789778,17952,0.02830730000277981,3.3433038999937708,5
gradient_boosting,10,1.5099008222641468,2.656102452461018,17952,0.02830730000277981,3.3433038999937708,5
gradient_boosting,15,1.6599901016709655,2.735407357841809,17952,0.02830730000277981,3.3433038999937708,5
gradient_boosting,30,1.8697376790597873,2.758222779372729,17952,0.02830730000277981,3.3433038999937708,5
gradient_boosting,60,1.7622175778363063,2.3418854271541867,17952,0.02830730000277981,3.3433038999937708,5
recurrent,5,24.286083221435547,24.602161407470703,17952,0.19673969999712426,0.7354120000090916,5
recurrent,10,23.360719680786133,23.68629264831543,17952,0.19673969999712426,0.7354120000090916,5
recurrent,15,24.07868194580078,24.39278221130371,17952,0.19673969999712426,0.7354120000090916,5
recurrent,30,23.189176559448242,23.51173210144043,17952,0.19673969999712426,0.7354120000090916,5
recurrent,60,24.168550491333008,24.4814453125,17952,0.19673969999712426,0.7354120000090916,5
hybrid,5,0.2949320673942566,0.38905125856399536,17952,0.003241300000809133,0.006838799992692657,5
hybrid,10,0.6247631311416626,0.8373687863349915,17952,0.003241300000809133,0.006838799992692657,5
hybrid,15,1.0047155618667603,1.3519829511642456,17952,0.003241300000809133,0.006838799992692657,5
hybrid,30,1.7480616569519043,2.327803373336792,17952,0.003241300000809133,0.006838799992692657,5
hybrid,60,4.250866889953613,5.096413612365723,17952,0.003241300000809133,0.006838799992692657,5
