duration_min,it_energy_kwh,cooling_energy_kwh,total_energy_kwh,pue_cooling_only,pue_unavailable_reason,hotspot_events,boundary_active_hotspot_events,hotspot_rack_minutes,hard_limit_rack_minutes,hard_limit_time_fraction,hotspot_degree_minutes,peak_temperature_c,mean_thermal_imbalance_c,offered_utilization_steps,served_utilization_steps,service_fraction,migration_count,mean_decision_latency_ms,scenario,controller,seed,steps,arm_description
20.0,19.732344830044262,1.8776835351149153,21.610028365159177,1.0951576485859893,,0,0,0.0,0.0,0.0,0.0,27.74877372090385,0.25806303301189476,99.6893861860189,99.6893861860189,1.0,0,314.06345999857876,burst,full_hybrid,20265908,20,"Physics rollout plus learned residual, optimization, and migration"
20.0,19.732344830044262,1.8776835351149153,21.610028365159177,1.0951576485859893,,0,0,0.0,0.0,0.0,0.0,27.74877372090385,0.25806303301189476,99.6893861860189,99.6893861860189,1.0,0,255.9785599965835,burst,physics_mpc,20265908,20,No learned residual correction
20.0,19.732344830044262,2.191922416466346,21.92426724651061,1.1110827139574893,,0,0,0.0,0.0,0.0,0.0,27.26564070677329,0.23054848719479737,99.6893861860189,99.6893861860189,1.0,0,48.81691999908071,burst,learned_only,20265908,20,No physical rollout in the controller predictor
20.0,19.732344830044262,2.191922416466346,21.92426724651061,1.1110827139574893,,0,0,0.0,0.0,0.0,0.0,27.26564070677329,0.23054848719479737,99.6893861860189,99.6893861860189,1.0,0,0.011979999544564635,burst,no_optimization,20265908,20,Forecast-triggered deterministic rule without search
20.0,19.732344830044262,1.8776835351149153,21.610028365159177,1.0951576485859893,,0,0,0.0,0.0,0.0,0.0,27.74877372090385,0.25806303301189476,99.6893861860189,99.6893861860189,1.0,0,290.8347100004903,burst,no_migration,20265908,20,Full hybrid search with migration candidates removed
