duration_min,it_energy_kwh,cooling_energy_kwh,total_energy_kwh,pue_cooling_only,pue_unavailable_reason,hotspot_events,boundary_active_hotspot_events,hotspot_rack_minutes,hard_limit_rack_minutes,hard_limit_time_fraction,hotspot_degree_minutes,peak_temperature_c,mean_thermal_imbalance_c,offered_utilization_steps,served_utilization_steps,service_fraction,migration_count,mean_decision_latency_ms,scenario,controller,seed,steps,replication
20.0,18.17704006445665,2.140619680205792,20.317659744662443,1.117765030643881,,0,0,0.0,0.0,0.0,0.0,26.78625981866217,0.32932700223461636,85.30707592493249,85.30707592493249,1.0,0,0.0,normal,fixed,20264908,20,0
20.0,18.17704006445665,2.140619680205792,20.317659744662443,1.117765030643881,,0,0,0.0,0.0,0.0,0.0,26.78625981866217,0.32932700223461636,85.30707592493249,85.30707592493249,1.0,0,0.019959997734986246,normal,reactive,20264908,20,0
20.0,18.17704006445665,1.8303870260791506,20.007427090535803,1.1006977494459225,,0,0,0.0,0.0,0.0,0.0,27.2076803428622,0.367021671438133,85.30707592493249,85.30707592493249,1.0,0,253.4318499994697,normal,physics_mpc,20264908,20,0
20.0,18.17704006445665,1.8303870260791506,20.007427090535803,1.1006977494459225,,0,0,0.0,0.0,0.0,0.0,27.2076803428622,0.367021671438133,85.30707592493249,85.30707592493249,1.0,0,311.01121000101557,normal,hybrid_mpc,20264908,20,0
20.0,19.717491498011757,2.2342130922538335,21.951704590265592,1.1133112238176508,,0,0,0.0,0.0,0.0,0.0,27.29231652004706,0.3100525138871099,99.56400588724996,99.56400588724996,1.0,0,0.0,burst,fixed,20264908,20,0
20.0,19.717491498011757,2.2342130922538335,21.951704590265592,1.1133112238176508,,0,0,0.0,0.0,0.0,0.0,27.29231652004706,0.3100525138871099,99.56400588724996,99.56400588724996,1.0,0,0.012690002040471882,burst,reactive,20264908,20,0
20.0,19.717491498011757,1.9160815760856216,21.633573074097377,1.0971767415890015,,0,0,0.0,0.0,0.0,0.0,27.825974013637715,0.338199622422476,99.56400588724996,99.56400588724996,1.0,0,261.80377999553457,burst,physics_mpc,20264908,20,0
20.0,19.717491498011757,1.9159801213920233,21.63347161940378,1.0971715961731352,,0,0,0.0,0.0,0.0,0.0,27.803230265549335,0.33325396912623645,99.56400588724996,99.56400588724996,1.0,0,304.2130099987844,burst,hybrid_mpc,20264908,20,0
20.0,19.362259875294352,2.200064958059176,21.56232483335353,1.11362645539462,,0,0,0.0,0.0,0.0,0.0,28.63247738471486,0.8200794267383067,94.90707592493249,94.90707592493249,1.0,0,0.0,skewed,fixed,20264908,20,0
20.0,19.362259875294352,2.200064958059176,21.56232483335353,1.11362645539462,,0,0,0.0,0.0,0.0,0.0,28.63247738471486,0.8200794267383067,94.90707592493249,94.90707592493249,1.0,0,0.013760000001639128,skewed,reactive,20264908,20,0
20.0,19.362259875294352,1.8707037290009498,21.232963604295303,1.0966159808333071,,0,0,0.0,0.0,0.0,0.0,29.348860103259433,0.9118226444012698,94.90707592493249,94.90707592493249,1.0,0,243.22383999679005,skewed,physics_mpc,20264908,20,0
20.0,19.362259875294352,1.8707037290009498,21.232963604295303,1.0966159808333071,,0,0,0.0,0.0,0.0,0.0,29.348860103259433,0.9118226444012698,94.90707592493249,94.90707592493249,1.0,0,303.8769199993112,skewed,hybrid_mpc,20264908,20,0
20.0,18.17704006445665,2.301814598831311,20.47885466328796,1.1266330816606536,,0,0,0.0,0.0,0.0,0.0,26.78625981866217,0.32932700223461636,85.30707592493249,85.30707592493249,1.0,0,0.0,hot_ambient,fixed,20264908,20,0
20.0,18.17704006445665,2.301814598831311,20.47885466328796,1.1266330816606536,,0,0,0.0,0.0,0.0,0.0,26.78625981866217,0.32932700223461636,85.30707592493249,85.30707592493249,1.0,0,0.015659999917261302,hot_ambient,reactive,20264908,20,0
20.0,18.17704006445665,1.9739115582005589,20.15095162265721,1.1085936737335107,,0,0,0.0,0.0,0.0,0.0,27.223535169991216,0.379031304816028,85.30707592493249,85.30707592493249,1.0,0,249.72912999655819,hot_ambient,physics_mpc,20264908,20,0
20.0,18.17704006445665,1.974514425215453,20.151554489672105,1.1086268401353427,,0,0,0.0,0.0,0.0,0.0,27.2076803428622,0.367021671438133,85.30707592493249,85.30707592493249,1.0,0,298.7146899991785,hot_ambient,hybrid_mpc,20264908,20,0
20.0,18.17704006445665,2.5537512598459218,20.730791324302572,1.1404932404170425,,0,0,0.0,0.0,0.0,0.0,26.900670565453893,0.32723591088504816,85.30707592493249,85.30707592493249,1.0,0,0.0,cooling_degradation,fixed,20264908,20,0
20.0,18.17704006445665,2.5537512598459218,20.730791324302572,1.1404932404170425,,0,0,0.0,0.0,0.0,0.0,26.900670565453893,0.32723591088504816,85.30707592493249,85.30707592493249,1.0,0,0.011729997640941292,cooling_degradation,reactive,20264908,20,0
20.0,18.17704006445665,2.188057405008215,20.365097469464867,1.1203747913438744,,0,0,0.0,0.0,0.0,0.0,27.392282440035032,0.3672699628483576,85.30707592493249,85.30707592493249,1.0,0,235.80316999868955,cooling_degradation,physics_mpc,20264908,20,0
20.0,18.17704006445665,2.188057405008215,20.365097469464867,1.1203747913438744,,0,0,0.0,0.0,0.0,0.0,27.392282440035032,0.3672699628483576,85.30707592493249,85.30707592493249,1.0,0,280.04835000174353,cooling_degradation,hybrid_mpc,20264908,20,0
