model,horizon_min,mae_c,rmse_c,count,inference_s,rack_id
persistence,5,0.17156323790550232,0.2417466640472412,1496,0.0008070000039879233,0
persistence,10,0.3058689534664154,0.44476062059402466,1496,0.0008070000039879233,0
persistence,15,0.4372120499610901,0.6384550929069519,1496,0.0008070000039879233,0
persistence,30,0.8077695965766907,1.1507184505462646,1496,0.0008070000039879233,0
persistence,60,1.4363044500350952,1.921825885772705,1496,0.0008070000039879233,0
persistence,5,0.17176316678524017,0.2469438910484314,1496,0.0008070000039879233,1
persistence,10,0.30825719237327576,0.45497387647628784,1496,0.0008070000039879233,1
persistence,15,0.44348201155662537,0.6549080610275269,1496,0.0008070000039879233,1
persistence,30,0.8218716979026794,1.193152904510498,1496,0.0008070000039879233,1
persistence,60,1.4569463729858398,1.9491961002349854,1496,0.0008070000039879233,1
persistence,5,0.17523075640201569,0.24601608514785767,1496,0.0008070000039879233,2
persistence,10,0.3115250766277313,0.4490872919559479,1496,0.0008070000039879233,2
persistence,15,0.4485921263694763,0.6447983980178833,1496,0.0008070000039879233,2
persistence,30,0.8289548754692078,1.1726337671279907,1496,0.0008070000039879233,2
persistence,60,1.4779596328735352,1.9499601125717163,1496,0.0008070000039879233,2
persistence,5,0.1686842292547226,0.24031990766525269,1496,0.0008070000039879233,3
persistence,10,0.30195847153663635,0.43913736939430237,1496,0.0008070000039879233,3
persistence,15,0.4305207431316376,0.6270601153373718,1496,0.0008070000039879233,3
persistence,30,0.7870033979415894,1.1325024366378784,1496,0.0008070000039879233,3
persistence,60,1.3942502737045288,1.8803874254226685,1496,0.0008070000039879233,3
persistence,5,0.1190287247300148,0.16083143651485443,1496,0.0008070000039879233,4
persistence,10,0.1897301971912384,0.26182475686073303,1496,0.0008070000039879233,4
persistence,15,0.25906455516815186,0.3547114431858063,1496,0.0008070000039879233,4
persistence,30,0.4465693235397339,0.5905026793479919,1496,0.0008070000039879233,4
persistence,60,0.7677497863769531,0.9528684616088867,1496,0.0008070000039879233,4
persistence,5,0.11279947310686111,0.14939534664154053,1496,0.0008070000039879233,5
persistence,10,0.1768430471420288,0.2410966455936432,1496,0.0008070000039879233,5
persistence,15,0.24189986288547516,0.3301166296005249,1496,0.0008070000039879233,5
persistence,30,0.41690918803215027,0.568608283996582,1496,0.0008070000039879233,5
persistence,60,0.739646852016449,0.959240198135376,1496,0.0008070000039879233,5
persistence,5,0.11180492490530014,0.14939792454242706,1496,0.0008070000039879233,6
persistence,10,0.17195183038711548,0.23919403553009033,1496,0.0008070000039879233,6
persistence,15,0.23097100853919983,0.32476264238357544,1496,0.0008070000039879233,6
persistence,30,0.39462754130363464,0.5633383989334106,1496,0.0008070000039879233,6
persistence,60,0.6824730634689331,0.9389771223068237,1496,0.0008070000039879233,6
persistence,5,0.11226742714643478,0.1442478597164154,1496,0.0008070000039879233,7
persistence,10,0.17569732666015625,0.23013359308242798,1496,0.0008070000039879233,7
persistence,15,0.23503996431827545,0.31527405977249146,1496,0.0008070000039879233,7
persistence,30,0.3823475241661072,0.540073037147522,1496,0.0008070000039879233,7
persistence,60,0.6241159439086914,0.8759893774986267,1496,0.0008070000039879233,7
persistence,5,0.11941497772932053,0.15130865573883057,1496,0.0008070000039879233,8
persistence,10,0.19752606749534607,0.25109216570854187,1496,0.0008070000039879233,8
persistence,15,0.27709802985191345,0.3520689606666565,1496,0.0008070000039879233,8
persistence,30,0.4996309280395508,0.6446517705917358,1496,0.0008070000039879233,8
persistence,60,0.885621964931488,1.15079665184021,1496,0.0008070000039879233,8
persistence,5,0.12595532834529877,0.1597457379102707,1496,0.0008070000039879233,9
persistence,10,0.20985610783100128,0.26652562618255615,1496,0.0008070000039879233,9
persistence,15,0.2938739061355591,0.37200385332107544,1496,0.0008070000039879233,9
persistence,30,0.538008987903595,0.6705743670463562,1496,0.0008070000039879233,9
persistence,60,0.9452938437461853,1.1747715473175049,1496,0.0008070000039879233,9
persistence,5,0.12341918796300888,0.15900112688541412,1496,0.0008070000039879233,10
persistence,10,0.2053823620080948,0.26775071024894714,1496,0.0008070000039879233,10
persistence,15,0.2862992584705353,0.3731442391872406,1496,0.0008070000039879233,10
persistence,30,0.5166825652122498,0.6647218465805054,1496,0.0008070000039879233,10
persistence,60,0.9093526601791382,1.149495244026184,1496,0.0008070000039879233,10
persistence,5,0.12143860012292862,0.16120211780071259,1496,0.0008070000039879233,11
persistence,10,0.195770725607872,0.26424533128738403,1496,0.0008070000039879233,11
persistence,15,0.2722890079021454,0.3638780117034912,1496,0.0008070000039879233,11
persistence,30,0.49582549929618835,0.6396679878234863,1496,0.0008070000039879233,11
persistence,60,0.8626843094825745,1.087978482246399,1496,0.0008070000039879233,11
physics,5,0.38404473662376404,0.40548306703567505,1496,5.319999763742089e-05,0
physics,10,0.7122979760169983,0.7411931157112122,1496,5.319999763742089e-05,0
physics,15,0.9888920783996582,1.0291277170181274,1496,5.319999763742089e-05,0
physics,30,1.5861444473266602,1.672889232635498,1496,5.319999763742089e-05,0
physics,60,2.134371757507324,2.366103410720825,1496,5.319999763742089e-05,0
physics,5,0.3853832483291626,0.40647968649864197,1496,5.319999763742089e-05,1
physics,10,0.7104268670082092,0.7380443811416626,1496,5.319999763742089e-05,1
physics,15,0.9845420122146606,1.0209388732910156,1496,5.319999763742089e-05,1
physics,30,1.5741231441497803,1.6522023677825928,1496,5.319999763742089e-05,1
physics,60,2.0989582538604736,2.328395366668701,1496,5.319999763742089e-05,1
physics,5,0.37537896633148193,0.4002048671245575,1496,5.319999763742089e-05,2
physics,10,0.6891103386878967,0.7228342890739441,1496,5.319999763742089e-05,2
physics,15,0.9527713656425476,0.9974817037582397,1496,5.319999763742089e-05,2
physics,30,1.5246764421463013,1.617597222328186,1496,5.319999763742089e-05,2
physics,60,2.0394768714904785,2.2975051403045654,1496,5.319999763742089e-05,2
physics,5,0.39151838421821594,0.41701698303222656,1496,5.319999763742089e-05,3
physics,10,0.7155565619468689,0.7503669857978821,1496,5.319999763742089e-05,3
physics,15,0.9875809550285339,1.0331114530563354,1496,5.319999763742089e-05,3
physics,30,1.574308156967163,1.6583690643310547,1496,5.319999763742089e-05,3
physics,60,2.0979878902435303,2.325554370880127,1496,5.319999763742089e-05,3
physics,5,0.31223419308662415,0.3334255516529083,1496,5.319999763742089e-05,4
physics,10,0.5686482191085815,0.5961407423019409,1496,5.319999763742089e-05,4
physics,15,0.7811160087585449,0.8192063570022583,1496,5.319999763742089e-05,4
physics,30,1.2291167974472046,1.315268874168396,1496,5.319999763742089e-05,4
physics,60,1.6447502374649048,1.8778866529464722,1496,5.319999763742089e-05,4
physics,5,0.3086073100566864,0.3283514976501465,1496,5.319999763742089e-05,5
physics,10,0.5640066266059875,0.5899419784545898,1496,5.319999763742089e-05,5
physics,15,0.7771500945091248,0.8138371706008911,1496,5.319999763742089e-05,5
physics,30,1.2370450496673584,1.3241729736328125,1496,5.319999763742089e-05,5
physics,60,1.707274079322815,1.9229811429977417,1496,5.319999763742089e-05,5
physics,5,0.31577950716018677,0.33575841784477234,1496,5.319999763742089e-05,6
physics,10,0.5790802836418152,0.6033610701560974,1496,5.319999763742089e-05,6
physics,15,0.7999618649482727,0.8337198495864868,1496,5.319999763742089e-05,6
