run_id,scenario,step,time_s,rack_id,zone_id,observed_temp_c,sensor_valid,estimated_temp_c,utilization,offered_utilization,ambient_c,humidity_pct,supply_actual_c,supply_command_c,airflow_actual,airflow_command,it_power_w,cooling_power_w,fan_power_w,unserved_utilization,true_temp_c,degradation_factor,schema_version
dataset-normal-6c12e3d0,normal,0,60.0,0,0,23.493676796174068,True,23.532941795217454,0.33569546930401983,0.33569546930401983,23.271843656131097,52.79425538604203,20.0,20.0,0.88,0.88,4414.133808506669,318.5688224070848,86.5559111923995,0.0,23.599691531413388,1.0057381355071782,1.0
dataset-normal-6c12e3d0,normal,0,60.0,1,0,23.591365656450005,True,23.62217464769884,0.38020959614389016,0.38020959614389016,23.271843656131097,52.79425538604203,20.0,20.0,0.88,0.88,4700.590325711293,318.5688224070848,86.5559111923995,0.0,23.686095307356997,1.0057381355071782,1.0
dataset-normal-6c12e3d0,normal,0,60.0,2,0,23.650613540131758,True,23.65049075728932,0.4052954970442043,0.4052954970442043,23.271843656131097,52.79425538604203,20.0,20.0,0.88,0.88,4863.838211243825,318.5688224070848,86.5559111923995,0.0,23.66733155722456,1.0057381355071782,1.0
dataset-normal-6c12e3d0,normal,0,60.0,3,0,23.939617777580505,True,23.953616685280103,0.43626038889374974,0.43626038889374974,23.271843656131097,52.79425538604203,20.0,20.0,0.88,0.88,5067.016337330009,318.5688224070848,86.5559111923995,0.0,23.96327575048172,1.0057381355071782,1.0
dataset-normal-6c12e3d0,normal,0,60.0,4,1,23.54057841631486,True,23.593720687577193,0.4204709401049061,0.4204709401049061,23.271843656131097,52.79425538604203,20.145163324221315,20.5,0.88,0.88,4963.188571201522,318.5688224070848,86.5559111923995,0.0,23.693818490801334,1.0108749036459697,1.0
dataset-normal-6c12e3d0,normal,0,60.0,5,1,23.75004495426867,True,23.76634477920979,0.42196529492449825,0.42196529492449825,23.271843656131097,52.79425538604203,20.145163324221315,20.5,0.88,0.88,4972.99533982809,318.5688224070848,86.5559111923995,0.0,23.796806731713026,1.0108749036459697,1.0
dataset-normal-6c12e3d0,normal,0,60.0,6,1,23.467158589427203,True,23.47857939980461,0.3439912107572082,0.3439912107572082,23.271843656131097,52.79425538604203,20.145163324221315,20.5,0.88,0.88,4467.190345547182,318.5688224070848,86.5559111923995,0.0,23.495658505410123,1.0108749036459697,1.0
dataset-normal-6c12e3d0,normal,0,60.0,7,1,23.800223996420527,True,23.807669715916088,0.31667127906050885,0.31667127906050885,23.271843656131097,52.79425538604203,20.145163324221315,20.5,0.88,0.88,4293.06103914499,318.5688224070848,86.5559111923995,0.0,23.81944817714675,1.0108749036459697,1.0
dataset-normal-6c12e3d0,normal,0,60.0,8,2,23.37494725468253,True,23.41159919525122,0.26859522849527867,0.26859522849527867,23.271843656131097,52.79425538604203,20.0,20.0,0.88,0.88,3991.088583819297,318.5688224070848,86.5559111923995,0.0,23.48081516257741,0.9260015567203645,1.0
dataset-normal-6c12e3d0,normal,0,60.0,9,2,24.13168536896781,True,24.07883405741815,0.26384263449277384,0.26384263449277384,23.271843656131097,52.79425538604203,20.0,20.0,0.88,0.88,3961.5703642946055,318.5688224070848,86.5559111923995,0.0,23.978196462853877,0.9260015567203645,1.0
dataset-normal-6c12e3d0,normal,0,60.0,10,2,23.30654943603378,True,23.288940218626376,0.281687794814455,0.281687794814455,23.271843656131097,52.79425538604203,20.0,20.0,0.88,0.88,4072.7277515187725,318.5688224070848,86.5559111923995,0.0,23.257240755242634,0.9260015567203645,1.0
dataset-normal-6c12e3d0,normal,0,60.0,11,2,23.464276991877462,True,23.518551945921477,0.30974917024954834,0.30974917024954834,23.271843656131097,52.79425538604203,20.0,20.0,0.88,0.88,4249.221177034351,318.5688224070848,86.5559111923995,0.0,23.641004838010456,0.9260015567203645,1.0
dataset-normal-6c12e3d0,normal,1,120.0,0,0,23.837685177779903,True,23.797480896784656,0.3575572392005033,0.3575572392005033,23.27820346131051,52.83250138959042,20.0,20.0,0.88,0.88,4554.283609157516,332.181587138045,86.5559111923995,0.0,23.776425861576637,1.0057381355071782,1.0
dataset-normal-6c12e3d0,normal,1,120.0,1,0,23.82313830367552,True,23.8255561565726,0.40882346538803643,0.40882346538803643,23.27820346131051,52.83250138959042,20.0,20.0,0.88,0.88,4886.895851567322,332.181587138045,86.5559111923995,0.0,23.883989367136685,1.0057381355071782,1.0
dataset-normal-6c12e3d0,normal,1,120.0,2,0,23.784357702319717,True,23.810383246806193,0.4099154991548699,0.4099154991548699,23.27820346131051,52.83250138959042,20.0,20.0,0.88,0.88,4894.037875296273,332.181587138045,86.5559111923995,0.0,23.897928590300634,1.0057381355071782,1.0
dataset-normal-6c12e3d0,normal,1,120.0,3,0,24.224531747908596,True,24.199462371569357,0.4188769145318515,0.4188769145318515,23.27820346131051,52.83250138959042,20.0,20.0,0.88,0.88,4952.732318392889,332.181587138045,86.5559111923995,0.0,24.154672904065762,1.0057381355071782,1.0
dataset-normal-6c12e3d0,normal,1,120.0,4,1,23.603975976243433,True,23.68010506725271,0.43650188163495746,0.43650188163495746,23.27820346131051,52.83250138959042,20.248181867044664,20.5,0.88,0.88,5068.607883992174,332.181587138045,86.5559111923995,0.0,23.922267665705355,1.0108749036459697,1.0
dataset-normal-6c12e3d0,normal,1,120.0,5,1,23.757469235888912,True,23.8341141091061,0.4142376252454655,0.4142376252454655,23.27820346131051,52.83250138959042,20.248181867044664,20.5,0.88,0.88,4922.32741956707,332.181587138045,86.5559111923995,0.0,24.00659750063644,1.0108749036459697,1.0
dataset-normal-6c12e3d0,normal,1,120.0,6,1,23.573190883239555,True,23.611143184185437,0.3657662073602395,0.3657662073602395,23.27820346131051,52.83250138959042,20.248181867044664,20.5,0.88,0.88,4607.178688345128,332.181587138045,86.5559111923995,0.0,23.699840916709615,1.0108749036459697,1.0
dataset-normal-6c12e3d0,normal,1,120.0,7,1,24.00192836141272,True,23.99344088890166,0.32198275462381515,0.32198275462381515,23.27820346131051,52.83250138959042,20.248181867044664,20.5,0.88,0.88,4326.778457769099,332.181587138045,86.5559111923995,0.0,23.991929224838195,1.0108749036459697,1.0
dataset-normal-6c12e3d0,normal,1,120.0,8,2,23.560740349589974,True,23.566823849518904,0.2888006027917599,0.2888006027917599,23.27820346131051,52.83250138959042,20.0,20.0,0.88,0.88,4117.272580290577,332.181587138045,86.5559111923995,0.0,23.644345446750595,0.9260015567203645,1.0
dataset-normal-6c12e3d0,normal,1,120.0,9,2,23.9494449278608,True,24.043716630596464,0.29813563334024573,0.29813563334024573,23.27820346131051,52.83250138959042,20.0,20.0,0.88,0.88,4175.93399067287,332.181587138045,86.5559111923995,0.0,24.13007552369477,0.9260015567203645,1.0
dataset-normal-6c12e3d0,normal,1,120.0,10,2,23.455572576865258,True,23.458111661813604,0.293340003289374,0.293340003289374,23.27820346131051,52.83250138959042,20.0,20.0,0.88,0.88,4145.770237832747,332.181587138045,86.5559111923995,0.0,23.433280258235566,0.9260015567203645,1.0
dataset-normal-6c12e3d0,normal,1,120.0,11,2,23.961551053397944,True,23.868385706743048,0.32912004003901596,0.32912004003901596,23.27820346131051,52.83250138959042,20.0,20.0,0.88,0.88,4372.191215195071,332.181587138045,86.5559111923995,0.0,23.818519471445608,0.9260015567203645,1.0
dataset-normal-6c12e3d0,normal,2,180.0,0,0,24.043069686966106,True,24.02271353109728,0.3723371024344454,0.3723371024344454,23.284634124131166,52.870655389278255,20.0,20.0,0.88,0.88,4649.621658159694,345.93233649952316,86.5559111923995,0.0,23.961869962547052,1.0057381355071782,1.0
dataset-normal-6c12e3d0,normal,2,180.0,1,0,24.037279415294613,True,24.032011072676333,0.39701343306773895,0.39701343306773895,23.284634124131166,52.870655389278255,20.0,20.0,0.88,0.88,4809.804283036214,345.93233649952316,86.5559111923995,0.0,24.085944710996056,1.0057381355071782,1.0
dataset-normal-6c12e3d0,normal,2,180.0,2,0,24.3350906447525,True,24.226021827714188,0.43127349919417696,0.43127349919417696,23.284634124131166,52.870655389278255,20.0,20.0,0.88,0.88,5034.174181029084,345.93233649952316,86.5559111923995,0.0,24.120958309756443,1.0057381355071782,1.0
dataset-normal-6c12e3d0,normal,2,180.0,3,0,24.38677860934403,True,24.389171250369618,0.4256238605045244,0.4256238605045244,23.284634124131166,52.870655389278255,20.0,20.0,0.88,0.88,4997.022405122208,345.93233649952316,86.5559111923995,0.0,24.340563905634916,1.0057381355071782,1.0
